epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14167,1.65281,3.66477,1.51009,0.5924,0.16842,0.27016,0.20343,1.20511,2.4918,1.18869,4e-05,4e-05,4e-05
2,4.97887,1.59852,3.25123,1.49217,0.75609,0.78317,0.86346,0.64478,0.91433,2.09828,0.98862,9.99975e-05,9.99975e-05,9.99975e-05
3,7.31018,1.1881,1.20971,1.11153,0.57447,0.56842,0.54525,0.36468,1.02505,10.9468,1.07079,0.000159984,0.000159984,0.000159984
4,9.43061,1.00596,0.87356,1.0205,0.7,0.81053,0.68528,0.42737,1.28476,8.0086,1.10144,0.000219951,0.000219951,0.000219951
5,11.5894,1.04033,0.78107,1.02611,1,0.65263,0.92244,0.63373,1.18804,4.12243,1.1215,0.000279889,0.000279889,0.000279889
6,13.6598,0.93587,0.70534,0.99897,0.67934,0.88421,0.86054,0.57798,1.11185,3.34546,1.09954,0.00033979,0.00033979,0.00033979
7,16.275,0.91799,0.62539,0.97318,0.96923,0.66316,0.89323,0.58547,1.04647,2.61605,1.03386,0.000399645,0.000399645,0.000399645
8,18.7853,1.12252,0.71827,1.01119,0.86106,0.84211,0.92119,0.62988,1.08046,1.48878,1.02732,0.000459444,0.000459444,0.000459444
9,20.8427,0.88912,0.64524,0.97246,0.6991,0.88421,0.89317,0.62404,1.03497,2.94652,1.06443,0.000519179,0.000519179,0.000519179
10,22.9695,0.98547,0.68782,1.00336,0.48245,0.70526,0.5844,0.32809,1.48141,3.48775,1.27351,0.000578842,0.000578842,0.000578842
11,24.9999,1.0875,0.69639,1.01359,0.06126,0.61053,0.05163,0.03355,1.35153,14.049,1.22641,0.000638422,0.000638422,0.000638422
12,27.4879,0.97524,0.61907,0.97356,0.00333,0.04211,0.00181,0.00145,1.2655,57.0102,1.20351,0.000697912,0.000697912,0.000697912
13,29.5411,0.861,0.56372,0.96059,0.00083,0.01053,0.00042,0.00034,1.42149,inf,1.26457,0.000757303,0.000757303,0.000757303
14,32.0866,0.95225,0.62466,0.99048,0.06713,0.26316,0.03633,0.01707,2.07695,26.644,1.87412,0.000816586,0.000816586,0.000816586
15,34.2019,0.95851,0.56948,0.98212,0.00944,0.07368,0.00388,0.00131,3.59554,176.582,7.22263,0.000875752,0.000875752,0.000875752
16,36.3308,0.85502,0.62704,0.97878,0.00083,0.01053,0.00043,0.00017,4.09081,inf,35.8982,0.000934792,0.000934792,0.000934792
17,38.8305,0.92528,0.58174,0.97132,0.00246,0.02105,0.00091,0.00023,4.71086,inf,138.026,0.000993698,0.000993698,0.000993698
18,40.9644,0.91488,0.58977,0.9793,0.00083,0.01053,0.00042,4e-05,4.98712,inf,82.0016,0.00105246,0.00105246,0.00105246
19,43.4756,0.86592,0.6021,0.96993,0,0,0,0,4.90036,inf,68.6832,0.00111107,0.00111107,0.00111107
20,45.5575,0.88628,0.53459,0.97634,0.00535,0.02105,0.00153,0.00015,4.75824,367.583,91.8584,0.00116952,0.00116952,0.00116952
21,48.0569,0.90843,0.65035,0.971,0.00676,0.03158,0.00234,0.00028,5.14404,233.56,160.422,0.00122781,0.00122781,0.00122781
22,50.1813,0.88743,0.56682,0.9522,0.00333,0.04211,0.00177,0.00053,4.69546,inf,140.59,0.00128591,0.00128591,0.00128591
23,52.3104,0.95681,0.62527,0.97664,0,0,0,0,nan,nan,nan,0.00134383,0.00134383,0.00134383
24,54.7766,0.89817,0.59914,0.9796,0,0,0,0,nan,nan,nan,0.00140155,0.00140155,0.00140155
25,56.9104,0.95294,0.59226,1.003,0,0,0,0,nan,nan,nan,0.00145908,0.00145908,0.00145908
26,59.0073,0.99873,0.61395,0.97604,0,0,0,0,nan,nan,nan,0.00151639,0.00151639,0.00151639
27,61.5613,0.92931,0.6031,0.99869,0,0,0,0,nan,nan,nan,0.00157348,0.00157348,0.00157348
28,63.6176,0.89329,0.55888,0.94713,0,0,0,0,nan,nan,nan,0.00163034,0.00163034,0.00163034
29,65.7388,1.05228,0.60934,1.03415,0,0,0,0,nan,nan,nan,0.00168697,0.00168697,0.00168697
30,68.2758,0.93943,0.60606,0.99778,0,0,0,0,nan,nan,nan,0.00174335,0.00174335,0.00174335
31,70.4951,0.93099,0.59329,0.94853,0.00333,0.04211,0.00175,0.00078,nan,nan,nan,0.00179947,0.00179947,0.00179947
32,72.6266,0.89632,0.54322,0.9622,0.00333,0.04211,0.00175,0.00078,nan,nan,nan,0.00185534,0.00185534,0.00185534
33,75.1922,0.87385,0.54675,0.96204,0.02667,0.33684,0.01874,0.00477,4.57489,505.335,85.7999,0.00191094,0.00191094,0.00191094
34,77.3521,0.94039,0.60314,0.98274,0.01,0.12632,0.0077,0.00165,4.60422,147.601,55.7129,0.00194679,0.00194679,0.00194679
35,79.512,0.82024,0.55244,0.95645,0.01,0.12632,0.0077,0.00165,4.60422,147.601,55.7129,0.00194355,0.00194355,0.00194355
36,82.0939,0.77326,0.52077,0.92953,0.00085,0.01053,0.00043,4e-05,5.19317,171.721,32.7824,0.00194022,0.00194022,0.00194022
37,84.2279,0.87276,0.5513,0.95347,0.00085,0.01053,0.00043,4e-05,5.19317,171.721,32.7824,0.0019368,0.0019368,0.0019368
